ID,Review,Sentiment
1,The product is amazing and works well.,Positive
2,I did not like the quality of the material.,Negative
3,Amazing build! The design is very stylish.,Positive
4,The product does not work as expected.,Negative
5,"Great purchase, I would buy it again!",Positive
6,"Poor packaging, item arrived broken.",Negative
7,Excellent customer service and fast delivery.,Positive
8,The color was not as shown in the pictures.,Negative
9,Very comfortable and fits perfectly.,Positive
10,"I regret buying this, very low quality.",Negative
